text,Media,Link,Label
"Gervane Kastaneer Cetak Gol Debut, Pelatih Persib: Dia Rekrutan Bagus",kompas.com,https://bola.kompas.com/read/2025/01/24/21421958/gervane-kastaneer-cetak-gol-debut-pelatih-persib-dia-rekrutan-bagus,Liga Indonesia
Jadwal Timnas U20 Indonesia Usai Melawan Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/21352208/jadwal-timnas-u20-indonesia-usai-melawan-yordania,Liga Indonesia
3 Wakil Tuan Rumah ke Semifinal Indonesia Masters 2025,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/21345338/3-wakil-tuan-rumah-ke-semifinal-indonesia-masters-2025,Liga Indonesia
"Hasil Timnas U20 Indonesia Vs Yordania 0-1, Garuda Nusantara Jalani Proses",kompas.com,https://bola.kompas.com/read/2025/01/24/21245758/hasil-timnas-u20-indonesia-vs-yordania-0-1-garuda-nusantara-jalani-proses,Liga Indonesia
"Skor Arema FC Vs Persib 1-3, Hodak Bicara Pentingnya Bangkit Usai Kekalahan",kompas.com,https://bola.kompas.com/read/2025/01/24/21003178/skor-arema-fc-vs-persib-1-3-hodak-bicara-pentingnya-bangkit-usai-kekalahan,Liga Indonesia
"Hasil Indonesia Masters 2025, Fajar/Rian ke 4 Besar!",kompas.com,https://www.kompas.com/badminton/read/2025/01/24/20413728/hasil-indonesia-masters-2025-fajar-rian-ke-4-besar,Liga Indonesia
"Skor Timnas U20 Indonesia vs Yordania 0-1, Garuda Nusantara Tertinggal pada Tengah Babak",kompas.com,https://bola.kompas.com/read/2025/01/24/20214668/skor-timnas-u20-indonesia-vs-yordania-0-1-garuda-nusantara-tertinggal-pada,Liga Indonesia
Kemenangan Spesial Jonatan Christie di Indonesia Masters 2025,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/19544318/kemenangan-spesial-jonatan-christie-di-indonesia-masters-2025,Liga Indonesia
"Dari Bintang Belanda ke Pelatih Garuda Muda, Ini Rekam Jejak Gerald Vanenburg",kompas.com,https://bola.kompas.com/read/2025/01/24/19333998/dari-bintang-belanda-ke-pelatih-garuda-muda-ini-rekam-jejak-gerald-vanenburg,Liga Inggris
EPA U18: Rekor Tak Terkalahkan Semen Padang-ASIOP Dihentikan PSM,kompas.com,https://bola.kompas.com/read/2025/01/24/19232368/epa-u18-rekor-tak-terkalahkan-semen-padang-asiop-dihentikan-psm,Olahraga Non Sepak Bola
"Profil Gerald Vanenburg Pelatih Timnas U23 Indonesia, Pernah Disebut ""Johan Cruyff Baru""",kompas.com,https://bola.kompas.com/read/2025/01/24/19030188/profil-gerald-vanenburg-pelatih-timnas-u23-indonesia-pernah-disebut-johan-cruyff,Liga Indonesia
"Djokovic Mundur, Jannik Sinner Tantang Alexander Zverev di Final Australian Open 2025",kompas.com,https://www.kompas.com/sports/read/2025/01/24/18570358/djokovic-mundur-jannik-sinner-tantang-alexander-zverev-di-final-australian,Liga Inggris
Kata Erick Thohir dan Patrick Kluivert soal Gerald Vanenburg,kompas.com,https://bola.kompas.com/read/2025/01/24/18325658/kata-erick-thohir-dan-patrick-kluivert-soal-gerald-vanenburg,Olahraga Non Sepak Bola
Line Up Timnas U20 Indonesia Vs Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/18312488/line-up-timnas-u20-indonesia-vs-yordania,Liga Indonesia
Hasil Indonesia Masters 2025: Jonatan Tembus Semifinal Usai Menangi Duel 3 Set,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/18110488/hasil-indonesia-masters-2025-jonatan-tembus-semifinal-usai-menangi-duel,Liga Indonesia
Media Belanda Sebut Gerald Vanenburg Akan Bantu Kluivert Terapkan Filosofi,kompas.com,https://bola.kompas.com/read/2025/01/24/18015848/media-belanda-sebut-gerald-vanenburg-akan-bantu-kluivert-terapkan-filosofi,Olahraga Non Sepak Bola
"Muncul 2 Pertanda Kuat, Alejandro Garnacho Semakin Dekat ke Chelsea?",kompas.com,https://bola.kompas.com/read/2025/01/24/17432948/muncul-2-pertanda-kuat-alejandro-garnacho-semakin-dekat-ke-chelsea,Liga Inggris
"AC Milan Bersih-Bersih Skuad, Sergio Conceicao Siap Lepas 4 Pemain",kompas.com,https://bola.kompas.com/read/2025/01/24/17332668/ac-milan-bersih-bersih-skuad-sergio-conceicao-siap-lepas-4-pemain,Liga Italia
"Hasil Arema FC Vs Persib Bandung 1-3: Freekick Tyronne, Gol Debut Kastaneer, Maung Menang",kompas.com,https://bola.kompas.com/read/2025/01/24/17264718/hasil-arema-fc-vs-persib-bandung-1-3-freekick-tyronne-gol-debut-kastaneer-maung,Liga Indonesia
Rio Ferdinand: Bukan Garnacho yang Ingin Pergi dari Manchester United,kompas.com,https://bola.kompas.com/read/2025/01/24/17240638/rio-ferdinand-bukan-garnacho-yang-ingin-pergi-dari-manchester-united,Liga Inggris
PSSI Umumkan Gerald Vanenburg Sebagai Pelatih Kepala Timnas U23,kompas.com,https://bola.kompas.com/read/2025/01/24/17225758/pssi-umumkan-gerald-vanenburg-sebagai-pelatih-kepala-timnas-u23,Liga Inggris
Sinner Vs Shelton: Mencari Lawan Zverev di Final Australian Open 2025,kompas.com,https://bola.kompas.com/read/2025/01/24/17105078/sinner-vs-shelton-mencari-lawan-zverev-di-final-australian-open-2025,Olahraga Non Sepak Bola
"Ali Jasim Siap Tinggalkan Como, Bakal Jadi Rekan Thom Haye di Almere City",kompas.com,https://bola.kompas.com/read/2025/01/24/17000088/ali-jasim-siap-tinggalkan-como-bakal-jadi-rekan-thom-haye-di-almere-city,Olahraga Non Sepak Bola
"Hasil Arema FC Vs Persib Bandung: 2 Gol Sundulan, Sama Kuat di Babak I",kompas.com,https://bola.kompas.com/read/2025/01/24/16194628/hasil-arema-fc-vs-persib-bandung-2-gol-sundulan-sama-kuat-di-babak-i,Liga Indonesia
"Malut United Kalah Beruntun di Kandang, Laskar Kie Raha Diminta Tampil Tanpa Beban Lawan Persik",kompas.com,https://bola.kompas.com/read/2025/01/24/16053928/malut-united-kalah-beruntun-di-kandang-laskar-kie-raha-diminta-tampil-tanpa,Olahraga Non Sepak Bola
"Jadwal Liga Italia Pekan ke-22: Napoli Hadapi Juventus, Lazio Tantang Fiorentina",kompas.com,https://bola.kompas.com/read/2025/01/24/15400548/jadwal-liga-italia-pekan-ke-22-napoli-hadapi-juventus-lazio-tantang-fiorentina,Liga Italia
Indonesia Masters 2025: Gregoria Mariska Mundur karena Flu,kompas.com,https://www.kompas.com/badminton/read/2025/01/24/15330778/indonesia-masters-2025-gregoria-mariska-mundur-karena-flu,Liga Inggris
Prediksi Pemain Timnas U-20 Indonesia Vs Yordania: Siapa Saja yang Masuk Racikan Indra Sjafri?,kompas.com,https://bola.kompas.com/read/2025/01/24/15210878/prediksi-pemain-timnas-u-20-indonesia-vs-yordania-siapa-saja-yang-masuk-racikan,Liga Indonesia
Kapten Timnas Malaysia Tak Terkesima dengan Jersey Baru: Bisa Lebih Bagus,kompas.com,https://bola.kompas.com/read/2025/01/24/14112678/kapten-timnas-malaysia-tak-terkesima-dengan-jersey-baru-bisa-lebih-bagus,Liga Indonesia
Jadwal Pekan Ke-23 Liga Inggris: Ada Big Match Man City Vs Chelsea,kompas.com,https://bola.kompas.com/read/2025/01/24/14044338/jadwal-pekan-ke-23-liga-inggris-ada-big-match-man-city-vs-chelsea,Liga Inggris
"Lakers Hancurkan Celtics 117-96: LeBron dan Davis Buktikan Dominasi, Boston Terjebak di Kekalahan Terbesar Musim Ini",kompas.com,https://www.kompas.com/sports/read/2025/01/24/13573408/lakers-hancurkan-celtics-117-96-lebron-dan-davis-buktikan-dominasi-boston,Liga Inggris
Link Live Streaming Timnas U20 Indonesia Vs Yordania,kompas.com,https://bola.kompas.com/read/2025/01/24/13494108/link-live-streaming-timnas-u20-indonesia-vs-yordania,Liga Indonesia
Djokovic Pertimbangkan Pensiun,kompas.com,https://www.kompas.com/sports/read/2025/01/24/13385028/djokovic-pertimbangkan-pensiun,Olahraga Non Sepak Bola
"Cedera, Djokovic Gagal Pecahkan Rekor Gelar Grand Slam",kompas.com,https://www.kompas.com/sports/read/2025/01/24/13295418/cedera-djokovic-gagal-pecahkan-rekor-gelar-grand-slam,Olahraga Non Sepak Bola
"Man United Terancam Langgar FFP, Akibat Gaya Hidup Liga Champions",kompas.com,https://bola.kompas.com/read/2025/01/24/13140398/man-united-terancam-langgar-ffp-akibat-gaya-hidup-liga-champions,Liga Inggris
Wesley Sneijder Bicara Patrick Kluivert dan Tim Pelatih Timnas Indonesia,kompas.com,https://bola.kompas.com/read/2025/01/24/12363118/wesley-sneijder-bicara-patrick-kluivert-dan-tim-pelatih-timnas-indonesia,Liga Indonesia
"Link Live Streaming Arema FC Vs Persib, Pertarungan Sengit di Liga 1",kompas.com,https://bola.kompas.com/read/2025/01/24/11592238/link-live-streaming-arema-fc-vs-persib-pertarungan-sengit-di-liga-1,Liga Indonesia
"Prediksi Arema FC Vs Persib Bandung, Tujuh Pemain Maung Absen",kompas.com,https://bola.kompas.com/read/2025/01/24/11475238/prediksi-arema-fc-vs-persib-bandung-tujuh-pemain-maung-absen,Liga Indonesia
Vinicius Junior Dihargai Rp 6 Triliun oleh Klub Arab Saudi,kompas.com,https://bola.kompas.com/read/2025/01/24/10000068/vinicius-junior-dihargai-rp-6-triliun-oleh-klub-arab-saudi,Olahraga Non Sepak Bola
Timnas U20 Indonesia Vs Yordania: Tekad Berkembang Kalahkan Kekhawatiran,kompas.com,https://bola.kompas.com/read/2025/01/24/09455358/timnas-u20-indonesia-vs-yordania-tekad-berkembang-kalahkan-kekhawatiran,Liga Indonesia
Resmi! Kyle Walker Jadi Pemain AC Milan,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7749014/resmi-kyle-walker-jadi-pemain-ac-milan,Liga Italia
Arsenal Tak Mau Asal Rekrut Pemain,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748961/arsenal-tak-mau-asal-rekrut-pemain,Olahraga Non Sepak Bola
Napoli Vs Juventus: Kolo Muani Langsung Debut?,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748958/napoli-vs-juventus-kolo-muani-langsung-debut,Liga Inggris
Man City Perlakukan Laga Melawan Club Brugge seperti Final,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748957/man-city-perlakukan-laga-melawan-club-brugge-seperti-final,Olahraga Non Sepak Bola
Bruno Fernandes: Jangan Sampai Suporter MU Biasa Kalah di Kandang!,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748448/bruno-fernandes-jangan-sampai-suporter-mu-biasa-kalah-di-kandang,Liga Inggris
Vlahovic Dinilai Cocok Untuk Arsenal,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748712/vlahovic-dinilai-cocok-untuk-arsenal,Olahraga Non Sepak Bola
Man City Sedang Enggak Pede,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748713/man-city-sedang-enggak-pede,Olahraga Non Sepak Bola
Setajam Ini Barcelona-nya Hansi Flick,kompas.com,https://sport.detik.com/sepakbola/liga-spanyol/d-7748710/setajam-ini-barcelona-nya-hansi-flick,Liga Spanyol
Rio Ferdinand: MU Punya Peluang Besar Juara Liga Europa,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748704/rio-ferdinand-mu-punya-peluang-besar-juara-liga-europa,Liga Inggris
Indonesia U-20 Vs Yordania U-20: Garuda Muda Kalah 0-1,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748875/indonesia-u-20-vs-yordania-u-20-garuda-muda-kalah-0-1,Liga Inggris
Prioritas Liverpool Sepertinya Juara Premier League,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748706/prioritas-liverpool-sepertinya-juara-premier-league,Liga Inggris
Persita Vs Madura United Selesai 1-1,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748848/persita-vs-madura-united-selesai-1-1,Olahraga Non Sepak Bola
"Jelang 10 Tahun Son Heung-min di Tottenham: Ratusan Gol, 0 Trofi",kompas.com,https://sport.detik.com/sepakbola/foto-sepakbola/d-7748651/jelang-10-tahun-son-heung-min-di-tottenham-ratusan-gol-0-trofi,Olahraga Non Sepak Bola
"Malam Horor Maccabi Tel Aviv di Norwegia: Didemo, Disindir, Kalah",kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748650/malam-horor-maccabi-tel-aviv-di-norwegia-didemo-disindir-kalah,Olahraga Non Sepak Bola
Curtis Jones Tambah Daftar Cedera Liverpool,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748649/curtis-jones-tambah-daftar-cedera-liverpool,Liga Inggris
Alejandro Garnacho Sudah Mainkan Laga Terakhirnya di MU?,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748307/alejandro-garnacho-sudah-mainkan-laga-terakhirnya-di-mu,Liga Inggris
Malut United Diharapkan Bisa Lebih Konsisten,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748446/malut-united-diharapkan-bisa-lebih-konsisten,Olahraga Non Sepak Bola
"Video: Mantan Asisten Ten Hag Latih Timnas Indonesia U-23, Ini Profilnya",kompas.com,https://20.detik.com/detikupdate/20250124-250124125/video-mantan-asisten-ten-hag-latih-timnas-indonesia-u-23-ini-profilnya,Liga Indonesia
"Timnas U-20 Sempat Agendakan Uji Coba di China, tapi...",kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748431/timnas-u-20-sempat-agendakan-uji-coba-di-china-tapi,Liga Indonesia
Timnas Jerman Perpanjang Kontrak Julian Nagelsmann hingga 2028,kompas.com,https://sport.detik.com/sepakbola/bola-dunia/d-7748568/timnas-jerman-perpanjang-kontrak-julian-nagelsmann-hingga-2028,Liga Indonesia
"Septian Bagaskara, Striker Dewa United yang Mulai Tunjukkan Taji",kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748433/septian-bagaskara-striker-dewa-united-yang-mulai-tunjukkan-taji,Liga Inggris
Napoli Vs Juventus: Conte Tepikan Nostalgia dengan Si Nyonya Tua,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748309/napoli-vs-juventus-conte-tepikan-nostalgia-dengan-si-nyonya-tua,Liga Italia
Cerita Marselino Ferdinan Dapat Sambutan Hangat di Oxford United,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748304/cerita-marselino-ferdinan-dapat-sambutan-hangat-di-oxford-united,Olahraga Non Sepak Bola
Erick Thohir Harap Gerald Vanenburg Bawa Timnas U-23 ke Olimpiade,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748566/erick-thohir-harap-gerald-vanenburg-bawa-timnas-u-23-ke-olimpiade,Liga Indonesia
Jadwal Liga Italia Pekan Ini: Duel Napoli Vs Juventus,kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748149/jadwal-liga-italia-pekan-ini-duel-napoli-vs-juventus,Liga Italia
Hasil Liga 1: Persib Bandung Kalahkan Arema 2-1,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748487/hasil-liga-1-persib-bandung-kalahkan-arema-2-1,Liga Indonesia
Gerald Vanenburg Ditunjuk Jadi Pelatih Timnas Indonesia U-23,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748471/gerald-vanenburg-ditunjuk-jadi-pelatih-timnas-indonesia-u-23,Liga Indonesia
PSS: Pemulihan Kim Kurniawan Berjalan Lebih Cepat,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7748144/pss-pemulihan-kim-kurniawan-berjalan-lebih-cepat,Liga Inggris
"Video Marmoush Siap Main di Posisi Mana pun di City, Tapi...",kompas.com,https://20.detik.com/detikupdate/20250124-250124110/video-marmoush-siap-main-di-posisi-mana-pun-di-city-tapi,Olahraga Non Sepak Bola
'Finishing Bruno Fernandes Luar Biasa!',kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748142/finishing-bruno-fernandes-luar-biasa,Olahraga Non Sepak Bola
Jadwal Liga Inggris Akhir Pekan Ini: Man City Vs Chelsea,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748078/jadwal-liga-inggris-akhir-pekan-ini-man-city-vs-chelsea,Liga Inggris
'Bukan Garnacho yang Mulai Spekulasi Tinggalkan MU',kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748074/bukan-garnacho-yang-mulai-spekulasi-tinggalkan-mu,Liga Inggris
"Randal Kolo Muani ke Juventus, Tergoda Tawaran Thiago Motta",kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7748071/randal-kolo-muani-ke-juventus-tergoda-tawaran-thiago-motta,Liga Inggris
Sudah Saatnya Bayindir Jadi Kiper Utama MU?,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7748047/sudah-saatnya-bayindir-jadi-kiper-utama-mu,Liga Inggris
Pose Pesepakbola Palestina dengan Tropi di Reruntuhan Rumahnya,kompas.com,https://sport.detik.com/sepakbola/foto-sepakbola/d-7747699/pose-pesepakbola-palestina-dengan-tropi-di-reruntuhan-rumahnya,Olahraga Non Sepak Bola
Van Nistelrooy Mau Mundur dari Leicester?,kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7748044/van-nistelrooy-mau-mundur-dari-leicester,Liga Inggris
Kejutan Bursa Transfer Musim Dingin Hingga Kisah Di Balik Jersey Timnas,kompas.com,https://sport.detik.com/sepakbola/bola-dunia/d-7748109/kejutan-bursa-transfer-musim-dingin-hingga-kisah-di-balik-jersey-timnas,Liga Inggris
MU Vs Rangers: Pujian Untuk Toby Collyer,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747902/mu-vs-rangers-pujian-untuk-toby-collyer,Liga Inggris
"Jika Gabung Milan, Walker Tak Bisa Langsung Main Gegara Brexit",kompas.com,https://sport.detik.com/sepakbola/liga-italia/d-7747904/jika-gabung-milan-walker-tak-bisa-langsung-main-gegara-brexit,Olahraga Non Sepak Bola
Menpora: Pengambilan Sumpah Ole Romeny Dilakukan Bulan Ini,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747986/menpora-pengambilan-sumpah-ole-romeny-dilakukan-bulan-ini,Olahraga Non Sepak Bola
Timnas Indonesia U-17 Persiapan di Yogya dan Luar Negeri Jelang Piala Asia,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747901/timnas-indonesia-u-17-persiapan-di-yogya-dan-luar-negeri-jelang-piala-asia,Liga Indonesia
"Liga Europa: Kalahkan Rangers, MU Belum Lolos Otomatis ke Fase Gugur",kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747852/liga-europa-kalahkan-rangers-mu-belum-lolos-otomatis-ke-fase-gugur,Liga Inggris
"Usung Misi Bangkit di Markas Arema FC, Persib Tanpa 7 Pemain",kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747847/usung-misi-bangkit-di-markas-arema-fc-persib-tanpa-7-pemain,Liga Indonesia
Video Amorim soal Match MU Vs Rangers: Kami Pantas Menang,kompas.com,https://20.detik.com/detikupdate/20250124-250124074/video-amorim-soal-match-mu-vs-rangers-kami-pantas-menang,Liga Inggris
Jersey Baru Timnas Diharapkan Bawa Keberuntungan Indonesia,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747817/jersey-baru-timnas-diharapkan-bawa-keberuntungan-indonesia,Liga Indonesia
"Chelsea Rekrut Striker Muda Kazakhstan, Siapa Dia?",kompas.com,https://sport.detik.com/sepakbola/liga-inggris/d-7747689/chelsea-rekrut-striker-muda-kazakhstan-siapa-dia,Liga Inggris
Man Utd Vs Rangers: Marcus Rashford Jadi Penonton di Tribun,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747682/man-utd-vs-rangers-marcus-rashford-jadi-penonton-di-tribun,Olahraga Non Sepak Bola
Jadwal U-20 Challenge Series: Indonesia Vs Yordania Malam Ini,kompas.com,https://sport.detik.com/sepakbola/liga-indonesia/d-7747685/jadwal-u-20-challenge-series-indonesia-vs-yordania-malam-ini,Liga Indonesia
"Video: Man City Dapatkan Marmoush, Pinjamkan Walker ke Milan",kompas.com,https://20.detik.com/detikupdate/20250124-250124080/video-man-city-dapatkan-marmoush-pinjamkan-walker-ke-milan,Olahraga Non Sepak Bola
Jack Butland Eks Kiper MU Bikin Blunder di Old Trafford,kompas.com,https://sport.detik.com/sepakbola/uefa/d-7747626/jack-butland-eks-kiper-mu-bikin-blunder-di-old-trafford,Liga Inggris
